ABN,Charity_Legal_Name,Other_Organisation_Names,Address_Type,Address_Line_1,Address_Line_2,Address_Line_3,Town_City,State,Postcode,Country,Charity_Website,Registration_Date,Date_Organisation_Established,Charity_Size,Number_of_Responsible_Persons,Financial_Year_End,Operates_in_ACT,Operates_in_NSW,Operates_in_NT,Operates_in_QLD,Operates_in_SA,Operates_in_TAS,Operates_in_VIC,Operates_in_WA,Operating_Countries,PBI,HPC,Preventing_or_relieving_suffering_of_animals,Advancing_Culture,Advancing_Education,Advancing_Health,Promote_or_oppose_a_change_to_law__government_poll_or_prac,Advancing_natual_environment,Promoting_or_protecting_human_rights,Purposes_beneficial_to_ther_general_public_and_other_analogous,Promoting_reconciliation__mutual_respect_and_tolerance,Advancing_Religion,Advancing_social_or_public_welfare,Advancing_security_or_safety_of_Australia_or_Australian_public,Aboriginal_or_TSI,Adults,Aged_Persons,Children,Communities_Overseas,Early_Childhood,Ethnic_Groups,Families,Females,Financially_Disadvantaged,LGBTIQA+,General_Community_in_Australia,Males,Migrants_Refugees_or_Asylum_Seekers,Other_Beneficiaries,Other_Charities,People_at_risk_of_homelessness,People_with_Chronic_Illness,People_with_Disabilities,Pre_Post_Release_Offenders,Rural_Regional_Remote_Communities,Unemployed_Person,Veterans_or_their_families,Victims_of_crime,Victims_of_Disasters,Youth,animals,environment,other_gender_identities
14452441296,Dardanup Primary School Parents And Citizens Association Inc,,Business,,,,,,,Australia,,03/12/2012,01/01/1989,Small,4,31-Dec,,,,,,,,Y,AUS,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,
20874189445,The Australian Diver Accreditation Scheme Board Incorporated,,Business,526 Duncan Rd,,,Numulgi,NSW,2480,Australia,www.adas.org.au,03/12/2012,01/01/2003,Medium,10,31-Dec,,Y,,Y,Y,Y,Y,,AUS,,,,,Y,,,,,,,,,,,Y,,,Y,,Y,,,,,,,,,,,,,,,Y,,,,,,,
14667703365,Wheatland District Church Inc,,Business,Warracknabeal Christian School,,,Warracknabeal,VIC,3393,Australia,www.wdc.org.au,03/12/2012,01/01/1987,Small,6,31-Dec,,,,,,,Y,,AUS,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,
14674202297,Curatio Pty Ltd,,Business,Catholic Diocese of Bunbury,PO Box 2005,,Bunbury,WA,6231,AUSTRALIA,,03/12/2012,01/01/1981,Small,1,30-Jun,,,,,,,,,AUS,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54537182056,The Trustee For The Victor Smorgon Charitable Fund,,Business,Level 12 Como Office Tower,644 Chapel Street,,South Yarra,VIC,3141,Australia,,03/12/2012,01/01/1988,Medium,6,30-Jun,,,,,,,Y,,AUS,,,,Y,,Y,,,,Y,Y,,Y,,,,,Y,,Y,Y,,,,,Y,,,,,Y,Y,,,,,,,,Y,,,
59787943710,Association For The Welfare Of Children In Hospital Wa Inc,,Business,4-16 Rheola St,,,West Perth,WA,6005,Australia,www.awchwa.org.au,03/12/2012,01/01/1976,Small,10,30-Jun,,,,,,,,Y,AUS,Y,,,,,,,,,,,,,,Y,,,Y,,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,
59790395833,The Alexandra Yea Mansfield Group Of Melbourne Legacy Inc,,Business,59 Cambridge Dr,,,Mansfield,VIC,3722,Australia,https://www.legacy.com.au/clubs/vic/melbourne/,03/12/2012,01/01/1957,Small,3,31-Dec,,,,,,,Y,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,
69192347703,The Roman Catholic Bishop Of Bunbury Boyup Brook Parish,Catholic Parish of Boyup Brook ,Business,46 Jayes Road,,,Boyup Brook,WA,6244,AUSTRALIA,,03/12/2012,01/01/1960,Small,1,30-Jun,,,,,,,,Y,AUS,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
69195344087,Clare Public School Parents And Citizens Association,,Business,Clare Public School,Booligal Road,,Balranald,NSW,2715,Australia,,03/12/2012,01/01/1985,Small,2,31-Dec,,Y,,,,,,,AUS,,,,,Y,,,,,,,,,,,Y,Y,Y,,,,Y,,,,,,,,,,,,,,,,,,Y,,,
69195562474,OneSchool Global QLD Ltd,,Business,190 Ingleston Road,,,WAKERLEY,QLD,4154,Australia,,03/12/2012,01/01/2001,Large,6,31-Dec,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,,,Y,Y,,,,,Y,Y,,,Y,,,,,,,
69198255076,"Anglicare NSW South, NSW West & ACT",,Business,Level 8,221 London Circuit,,Canberra,ACT,2601,Australia,www.anglicare.com.au,03/12/2012,01/01/1994,Large,7,30-Jun,Y,Y,,,,,,,AUS,Y,,,,,,,,,Y,,,Y,,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,Y,Y,Y,,Y,Y,Y,,,
20775961069,Uca - Crow's Nest District Uniting Church,,Business,Po Box 242,,,Crows Nest,QLD,4355,Australia,http://www.crowsnestqldunitingchurch.org/,03/12/2012,01/01/1977,Small,9,31-Dec,,,,Y,,,,,AUS,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
14384315528,The Roman Catholic Bishop Of Bunbury Busselton Parish,Catholic Parish of Bunbury,Business,21 Canon Retreat,,,West Busselton ,WA,6280,AUSTRALIA,,03/12/2012,31/12/1884,Small,1,30-Jun,,,,,,,,Y,AUS,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
86627940993,Ross Circuit Pre School Centre Inc,,Business,422 Ross Circuit,,,Lavington,NSW,2641,Australia,www.rosscircuitpreschool.com.au,03/12/2012,01/01/1976,Medium,7,31-Dec,,Y,,,,,,,AUS,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,
14634097750,Alamein Neighbourhood And Learning Centre Inc,,Business,49 Ashburn Gr,,,Ashburton,VIC,3147,Australia,www.alameinnlc.com.au,03/12/2012,01/01/1976,Small,8,31-Dec,,,,,,,Y,,AUS,,,,,,,,,,,,,,,Y,Y,Y,Y,,,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y
14672404146,Shnei-Ohr Chabad Learning Centre Inc.,,Business,347 Alma Rd,,,Caulfield North,VIC,3161,Australia,www.chabadso.org.au,03/12/2012,01/01/2009,Small,5,31-Dec,,,,,,,Y,,AUS,,,,,Y,,,,,,,Y,,,,Y,Y,Y,,Y,Y,Y,Y,,,,Y,,,,,,Y,,,,,,,Y,,,
14679778375,Thomson River Common Equity Rental Housing Co-Operative Ltd ,,Business,PO BOX 553,,,SALE,VIC,3850,AUSTRALIA,,03/12/2012,01/01/2005,Small,5,30-Jun,,,,,,,,,AUS,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69172275325,Mg Dawang Land Trust,,Business,19 Chestnut Ave,,,Kununurra,WA,6743,Australia,www.mgcorp.com.au,03/12/2012,01/01/2006,Small,5,30-Jun,,,,,,,,Y,AUS,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14575119463,Aston Hall Housing Co-Operative Limited,,Business,,,,,,,,,03/12/2012,01/01/1995,Small,5,30-Jun,,Y,,,,,,,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
14463007859,Trustees Of The Roman Catholic As Trustee For Chatherine Mcauley Catholic Primary School,St Joseph's School Orange,Business,PO Box 308,,,Bathurst,NSW,2795,,www.mcauleyorange.catholic.edu.au,03/12/2012,01/01/1999,Large,3,31-Dec,,Y,,,,,,,AUS,,,,,Y,,,,,,,Y,,,,,,Y,,,,,Y,,,,Y,,,,,,,,Y,,,,,,,,
20881354905,Catholic Parish Of St Mary's Walgett,,Business,PO Box 93,,,Armidale ,NSW,2350,AUSTRALIA,,03/12/2012,31/12/1875,Small,2,30-Jun,,Y,,,,,,,AUS,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
20776117842,Kahwun - Wooga Aboriginal and Torres Strait Islanders Corporation for Community Development,,Business,138 Wharf Street,Bazaar Street,,MARYBOROUGH,QLD,4650,,,03/12/2012,07/12/1994,,3,30-Jun,,,,Y,,,,,,Y,,,,,,,,,,,,,,Y,,Y,,,,,,Y,,,,Y,,,,,,,,,Y,,Y,,Y,,,
14464519584,CHRISTIAN EDUCATION STANDING COMMITTEE OF PRESBYTERIAN WOMENS ASSOCIATION OF AUSTRALIA IN THE STATE OF NEW SOUTH WALES,,Business,168 Chalmers St,,,Surry Hills,NSW,2010,Australia,,03/12/2012,01/01/1960,Small,1,31-Dec,,Y,,,,,,,AUS,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
86631462079,Emmanuel Anglican Church Of Australia Glenhaven,,Business,31 Glenhaven Rd,,,Glenhaven,NSW,2156,Australia,www.emmanuelchurch.org.au,03/12/2012,31/12/1875,Medium,7,31-Dec,,Y,,,,,,,AUS,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
86648724459,Uca - Abbotsbury Congregation,,Business,83 Stockdale Cres,,,Abbotsbury,NSW,2176,Australia,http://abbotsbury.unitingchurch.org.au/,03/12/2012,01/01/1977,Small,6,30-Jun,,Y,,,,,,,AUS,,,,,,,,,,,,Y,,,,Y,Y,Y,,Y,Y,Y,,,,Y,,,,,,,,,,,,,,Y,,,
86709964682,Nan Tien Chinese School of Sydney,,Business,,,,,,,Australia,,03/12/2012,01/01/1992,Small,9,31-Dec,,Y,,,,,,,AUS,,,,Y,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,
86710277298,Italian Australian Foundation Incorporated,,Business,189 Faraday St,,,Carlton,VIC,3053,Australia,https://www.iaf.org.au/,03/12/2012,01/01/1993,Medium,8,30-Jun,,,,,,,Y,,AUS,Y,,,Y,Y,,,,,,,,,,,Y,,,,,Y,,,,,Y,,,,Y,,,,,,,,,,Y,,,
14643606329,GREEK FREE CHURCH EVANGELICALINCORPORATED,,Business,51-57 Kingsway,,,Kingsgrove,NSW,2208,Australia,greekfreechurch.org.au,03/12/2012,01/09/1994,Small,6,30-Jun,,Y,,,,,,,AUS,,,,,,,,,,,,Y,,,,Y,,Y,,Y,Y,,Y,,,,Y,Y,,,,,,,,,,,,Y,,,
82473635365,Pentecostal Missionary Church Of Christ (4Th Watch) Inc.,,Business,55 Mcintyre Rd,,,Sunshine North,VIC,3020,Australia,www.pmcc4w.org,03/12/2012,01/01/2000,Small,3,30-Jun,,,,,Y,,Y,,AUS,,,,,,,,,,,,Y,,,,Y,Y,Y,,Y,Y,Y,,,,Y,,,,,,,,,,,,,,Y,,,
54534376199,Gawler Care & Share Group Inc,,Business,Elderley Centre,,37 Fourteenth St,Gawler South,SA,5118,Australia,https://m.facebook.com/gawlercareandshare/.,03/12/2012,01/01/1977,Small,8,30-Jun,,,,,Y,,,,AUS,Y,,,,,,,,,,,,Y,,Y,,Y,,,,Y,,Y,Y,,,Y,,,,Y,Y,Y,,Y,Y,,,,,,,Y
54543741436,Griffith University Gold Coast Student Guild,,Business,58 Parklands Dr,,,Southport,QLD,4215,Australia,https://gugcstudentguild.com.au/,03/12/2012,01/01/1992,Large,8,31-Dec,,,,Y,,,,,AUS,,,,,Y,,,,,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,Y,,,
86780010507,Lutheran Church Of Australia Queensland District,,Business,32 Roderick St,,,Ipswich,QLD,4305,Australia,http://ipswich.church,03/12/2012,01/01/2001,Small,2,31-Dec,,,,Y,,,,,AUS,,,,,,,,,,,,Y,,,,Y,Y,Y,,Y,,Y,Y,,,,Y,,,,,,,,,,,,,Y,,,
86694881958,St Mary's Catholic Church - Alexandra,,Business,36 Nihil Street,,,Alexandra,VIC,3714,,,03/12/2012,,Small,1,31-Dec,,,,,,,Y,,AUS,,,,,,,,,,,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,
86697046770,Neighbours Aid Ltd,,Business,99 Howard St,,,Nambour,QLD,4560,Australia,https://www.neighboursaid.org,03/12/2012,01/01/2002,Large,6,31-Dec,,,,,,,,,KEN,Y,,,,,,,,,Y,,,,,Y,Y,Y,Y,Y,Y,,Y,,Y,,,,,,,,Y,,,Y,Y,,,,Y,,,
86789397192,The Trustee For Australian Atherosclerosis Society Trust Fund,,Business,130 Thonemans Road,,,Hoddles Creek,VIC,3139,Australia,www.athero.org.au,03/12/2012,01/01/1988,Small,4,30-Jun,,,,,,,,,AUS,,,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
59794952256,Our Lady Help Of Christians Parish Out Of School Hours Care,,Business,25 Rhodes St,,,South Lismore,NSW,2480,Australia,,03/12/2012,01/01/2007,Small,1,31-Dec,,Y,,,,,,,AUS,,,,,Y,,,,,,,,,,Y,,,Y,,,Y,Y,,,,,,,,,,,Y,,Y,,,,,,,,
39002510465,Hunter Christian School Limited,,Business,Hunter Christian School,,,Mayfield,NSW,2304,Australia,www.hunterchristian.nsw.edu.au,03/12/2012,01/01/1981,Large,6,31-Dec,,Y,,,,,,,AUS,,,,,Y,,,,,,,Y,,,Y,,,Y,,Y,Y,Y,Y,,,,Y,,,,,,Y,,,,,,,Y,,,
14674514077,See Indonesia Incorporated,,Business,U 1 43 Church St,,,South Windsor,NSW,2756,Australia,,03/12/2012,01/01/2000,Small,8,31-Dec,,,,,,,,,IDN,,,,,,,,,,,,Y,,,,Y,,Y,Y,,Y,Y,Y,Y,,,Y,,,,,,,,Y,Y,,,Y,Y,,,
86687069320,Gympie And District Riding For Disabled Assoc Inc,"Gympie RDA  gympierda  Gympie Riding Develops Abilities, Gympie RDA gympierda Gympie Riding Develops Abilities",Business,580 Mary Valley Rd,,,Long Flat,QLD,4570,Australia,gympierda.wix.com/gympierda,03/12/2012,01/01/1989,Small,7,30-Sep,,,,Y,,,,,AUS,Y,,,,,,,,,,,,,,,Y,,Y,,,,,Y,,,,Y,,,,,,Y,,,,,,,Y,,,
86693237685,The Trustee For Greenfleet Trust,Greenfleet Trust,Business,Level 4,517 Flinders Lane,,Melbourne,VIC,3000,AUSTRALIA,www.greenfleet.com.au,03/12/2012,01/01/2000,Large,10,31-Dec,Y,Y,Y,Y,Y,Y,Y,Y,NZL,,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
86724656359,South West Catchments Council,South West NRM,Business,1 Verschuer Pl,,,Davenport,WA,6230,Australia,https://southwestnrm.org.au,03/12/2012,01/01/2002,Medium,5,30-Jun,,,,,,,,Y,AUS,,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,,,Y,,,,Y,,Y,Y,
86712683107,St Peter's Lutheran Church Port Macquarie,,Business,13 Kemp St,,,Port Macquarie,NSW,2444,Australia,https://stpetersptmacquarie.com/,03/12/2012,01/01/1985,Small,1,31-Dec,,Y,,,,,,,AUS,,,,,,,,,,,,Y,,,,Y,Y,Y,,,,Y,,,,,,,,,,,,,,,,,,Y,,,
59794527157,The Trustee For The Trustee Of The Roman Catholic Church For The Diocese Of Parramatta As Trustee For Emmaus (Disabled Persons Catholic Services),,Business,2A Villiers Street,,,Parramatta,NSW,2150,AUSTRALIA,,03/12/2012,01/01/1983,Small,5,30-Jun,,Y,,,,,,,AUS,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
86727247193,Bethel Independent Presbyterian Church Incorporated,,Business,7 Milford St,,,East Victoria Park,WA,6101,Australia,bethelipc.com.au,03/12/2012,01/01/1995,Medium,3,30-Jun,,,,,,,,Y,AUS,,,,,,,,,,,,Y,,,,Y,Y,Y,,Y,,Y,,,,,,,,,,,,,,,,,,Y,,,
86715579866,Doomadgee Incorporated,,Business,15 Van Dyck Rise,,,Mackenzie,QLD,4156,Australia,,03/12/2012,01/01/1985,Small,3,31-Dec,,,,Y,,,,,AUS,Y,,,,,,,,,,,Y,,,Y,Y,Y,Y,,Y,,Y,,,,,,,,,,,,,,,,,,Y,,,
39001577804,The Reformed Church Of Gosford Property Holding Association Limited,,Business,14 Dashwood Cl,,,Wamberal,NSW,2260,Australia,https://www.wamberalreformed.com.au,03/12/2012,01/01/1978,Small,6,30-Jun,,Y,,,,,,,AUS,,,,,,,,,,,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,
59900624910,Frontline Christian Church Incorporated,,Business,Po Box 85,,,Mudgee,NSW,2850,Australia,frontline.org.au,03/12/2012,,Small,4,30-Jun,,Y,,,,,,,AUS,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,
20939728937,Christian Reformed Church Of Casey Inc,,Business,350-352 Pound Rd,,,Narre Warren South,VIC,3805,Australia,https://www.caseycrc.org.au/,03/12/2012,01/01/1968,Small,5,30-Jun,,,,,,,Y,,AUS,,,,,,,,,,,,Y,,,,Y,Y,Y,,Y,Y,Y,,Y,,Y,,,,Y,,,,,,Y,,,,Y,,,
20764644354,Karratha Business Enterprise Centre Incorporated,,Business,7/18 Hedland Place,,,Karratha,WA,6714,Australia,https://businesscentre.org.au/,03/12/2012,05/05/1994,Small,7,30-Jun,,,,,,,,Y,AUS,,,,,Y,,,,,,,,,,Y,Y,Y,,,,Y,,Y,Y,,,Y,,,,,,,,Y,,,,,Y,,,Y
20774013327,MULBRING PUBLIC SCHOOL PARENTS AND CITIZENS ASSOCIATION,,Business,Mulbring Public School,,,Mulbring,NSW,2323,Australia,,03/12/2012,13/09/2017,Small,3,31-Dec,,Y,,,,,,,AUS,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,
20947041051,Aboriginal Advancement Council of Western Australia Aboriginal Corporation,,Business,207 Beaufort Street,12 Burton Street,,PERTH,WA,6000,,,03/12/2012,24/11/1986,Small,5,30-Jun,,,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,Y,,,Y,,,,,,,,,Y,,,Y,,,,,,,
20950428260,Surf Life Saving Tasmania Inc,,Business,100-104 Mornington Rd,,,Mornington,TAS,7018,Australia,www.slst.asn.au,03/12/2012,01/01/1985,Medium,8,30-Jun,,,,,,Y,,,AUS,Y,,,,,,,,,Y,,,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,,,,,,Y,,Y,,,,Y,Y,,,Y
82658805761,Greek Orthodox Church Springvale,GREEK ORTHODOX PARISH OF ST. ATHANASIUS,Business,4 Parsons Ave,,,Springvale,VIC,3171,Australia,,03/12/2012,,Small,10,31-Dec,,,,,,,Y,,AUS,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
82661241997,Trustees Of The Roman Catholic Church For The Archdiocese Of Canberra And Goulburn As Trustee For Sts Peter & Paul Primary Goulburn Parents And Friends Association,STS PETER & PAUL CATHOLIC PRIMARY SCHOOL GOULBURN P&F ASSOCIATION,Business,St Christopher's Pastoral Centre, 55 Franklin St,,Forrest ,ACT,2603,,,03/12/2012,,Small,4,31-Dec,Y,,,,,,,,AUS,,,,,Y,,,,,,,,,,,,,Y,,Y,,,Y,,,,Y,,,,,,,,,,,,,,,,Y
14637290301,Broken Hill Historical Society Inc,Ron Mewburn,Business,Po Box 212,,,Broken Hill,NSW,2880,Australia,http://www.brokenhillhistoricalsociety.com,03/12/2012,01/01/1988,Small,1,31-Dec,,Y,,,,,,,AUS,,,,,,,,,,,,,,,Y,Y,Y,Y,,,Y,Y,Y,Y,,Y,Y,,,,,,Y,,Y,Y,,,,Y,,,
82668862796,Bennett Road Parent And Teachers Group,,Business,Bennett Road School,,,Colyton,NSW,2760,Australia,https://bennett-p.schools.nsw.gov.au/,03/12/2012,01/01/1979,Small,1,31-Dec,,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,
14674782290,Mansfield Rudolf Steiner School & Kinder Inc Parents & Friends,,Business,Mansfield Rudolf Steiner Schoo,,,Mansfield,VIC,3722,Australia,https://mansfieldsteiner.vic.edu.au/,03/12/2012,01/01/1997,Small,1,31-Dec,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59780738964,The Trustee For Hopevale Community Charitable Trust,,Business,88 Charlotte,,,COOKTOWN,QLD,4895,Australia,,03/12/2012,01/01/2011,Small,3,30-Jun,,,,Y,,,,,AUS,,,,Y,Y,,,,,,Y,,Y,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
86726395813,Muli Muli Local Aboriginal Land Council,,Business,2 Muli Muli Cres,,,Muli Muli,NSW,2476,Australia,,03/12/2012,01/01/1984,Small,1,30-Jun,,Y,,,,,,,,Y,,,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86789767972,Pila Nguru (Aboriginal Corporation) RNTBC,,Business,Lot 62Tjuntjuntjara Community,Tjuntjuntjara Community,via,PLUMRIDGE LAKES,WA,6431,,,03/12/2012,06/03/2001,,7,30-Jun,,,,,,,,Y,,Y,,,Y,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,
59896511098,Rockhampton Girls Grammar School,,Business,Cnr Agnes and Denham Streets,,,THE RANGE,QLD,4700,Australia,www.rggs.qld.edu.au,03/12/2012,31/12/1891,Large,8,31-Dec,,,,Y,,,,,AUS,,,,,Y,,,,,,,,,,Y,,,Y,,,Y,,,,,,,,,,,,,,Y,,,,,,,,
39001686344,Southside Montessori Society,,Business,Southside Montessori Pre & Pri,,,Riverwood,NSW,2210,Australia,www.southsidemontessori.edu.au,03/12/2012,01/01/1979,Medium,5,31-Dec,,Y,,,,,,,AUS,,,,,Y,,,,,,,,,,,,,Y,,Y,,Y,,,,,,,,,,,,,,,,,,,,,
59896928059,Shepparton Presbyterian Church,,Business,,,,,,,Australia,http://www.sheppartonpresbyterian.org.au/,03/12/2012,31/12/1878,Small,6,30-Jun,,,,,,,Y,,AUS,,,,,,,,,,,,Y,,,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,,,,,,,,Y,Y,,,,Y,,,
59899244983,St Johns Parish Numurkah,,Business,P.O. Box 201,,,Bendigo,VIC,3552,AUSTRALIA,,03/12/2012,31/12/1886,Small,2,30-Jun,,,,,,,Y,,AUS,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
39029082337,Ethnic Discussion Club Inc,,Business,6 Carween Ave,,,Brighton East,VIC,3187,Australia,shalomau.com,03/12/2012,01/01/2000,Small,3,30-Jun,,,,,,,Y,,AUS,,,,,,,,,,,Y,,,,,Y,Y,,,,Y,Y,,,,,,,,,,,,,,,Y,,,,,,
27009942269,"CPL - Choice, Passion, Life",,Business,L 2 340 Adelaide St,,,Brisbane City,QLD,4000,Australia,www.cpl.org.au,03/12/2012,01/01/1948,Large,10,30-Jun,,Y,,Y,,,,,,Y,,,,,,,,,,,,Y,,,Y,Y,Y,,Y,,Y,,,,,,,,,,,Y,,,Y,,,,Y,,,
38891442116,New Lambton Anglican Parish,,Business,44 Cromwell St,,,New Lambton,NSW,2305,Australia,https://www.anew.org.au,03/12/2012,01/01/1948,Medium,4,31-Dec,,Y,,,,,,,AUS,,,,,,,,,,,,Y,,,,Y,Y,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,,,,,
14630825776,Coonabarabran Christian Education Association Incorporated,CCEAI,Business,1157 Timor Rd,,,Coonabarabran,NSW,2357,Australia,,03/12/2012,01/01/2009,Small,5,30-Jun,,Y,,,,,,,AUS,,,,,,,,,,,,Y,,,,,,Y,,,,,Y,,,,Y,,,,,,,,Y,,,,,,,,
14671840186,Alzheimer's Australia Vic Ltd,Dementia Australia VIC Division,Business,98 Riversdale Road,,,Hawthorn,VIC,3122,AUSTRALIA,Dementia.org.au,03/12/2012,01/01/1983,Large,9,30-Jun,,,,,,,Y,,,Y,,,,,,,,,,,,Y,,Y,Y,Y,,,,Y,Y,,,Y,Y,,,,Y,Y,Y,Y,,Y,,,,,,,,
82662117575,Hampton Community Centre Inc,,Business,14 Willis St,,,Hampton,VIC,3188,Australia,https://baysidecommunitycentres.org.au/,03/12/2012,01/01/1989,Small,4,31-Dec,,,,,,,Y,,AUS,,,,,,,,,,,,,,,,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,,,,,Y,Y,,,Y,Y,,,Y,,,
14637350953,Community Compassion Ministries,,Business,"4 Warrell Street, West Ipswich, Australia",,,Ipswich,QLD,4305,Australia,,03/12/2012,01/01/2008,Small,4,31-Dec,,,,,,,,,,Y,,,,,,,,,,,,,,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,
82670533940,Welsh Calvinistic Methodist Connexion In Victoria,,Business,320 Latrobe Street,,,MELBOURNE,VIC,3000,Australia,,03/12/2012,31/12/1852,Small,3,31-Dec,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59792865372,The Archbishop Of Sydney's Overseas Relief And Aid Fund,,Business,St Andrews House,464 Kent Street,,Sydney,NSW,2000,Australia,https://anglicanaid.org.au/,03/12/2012,01/01/1982,Large,9,30-Jun,,,,,,,,,"NPL, ZAF, ZMB",,,,,,Y,,,,Y,,,Y,,,Y,,Y,Y,Y,,,Y,,,,Y,,,,,,,,,,,,,Y,,,
27005085423,The Cairnmillar Institute,,Business,391 Tooronga Rd,,,Hawthorn East,VIC,3123,Australia,www.cairnmillar.org.au,03/12/2012,01/01/1961,Large,11,31-Dec,,,,,,,Y,,AUS,,Y,,,Y,Y,,,,,,,Y,,,Y,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,
27009483372,Presentation Sisters Property Association,,Business,Gpo Box 1476,,,Hobart,TAS,7001,Australia,,03/12/2012,01/01/1961,Medium,7,31-Dec,,,,,,Y,,,AUS,,,,,,,,,,,,Y,,,,Y,Y,Y,Y,,Y,Y,Y,Y,,,Y,,,,,Y,Y,,,Y,,,,Y,,,
38896831872,Evangelical Fellowship In The Anglican Communion (Victorian Branch)Inc,,Business,170 The Avenue,,,Parkville,VIC,3052,Australia,,03/12/2012,01/01/1970,Small,3,31-Dec,,,,,,,Y,,AUS,,,,,,,,,,,,Y,,,,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,
27125926169,U@Mq Ltd,,Business,Building W10a,10 Gymnasium Road,,North Ryde,NSW,2109,Australia,,03/12/2012,01/01/2007,Large,3,31-Dec,,Y,,,,,,,AUS,,,,,Y,,,,,,,,,,Y,Y,Y,Y,,Y,Y,Y,Y,,,Y,Y,,Y,,,,,,,,,,,Y,,,
14642231554,The Roman Catholic Archbishop Of Perth Manning Parish, The Roman Catholic Archbishop Of Perth Manning Parish,Business,23 Paterson Street,,,Manning,WA,6152,AUSTRALIA,,03/12/2012,,Small,3,30-Jun,,,,,,,,Y,AUS,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
86778154824,Thangkenharenge Aboriginal Corporation,,Business,Thangkenharenge Resource CentreStuart Highway,Stuart Highway,Stuart Highway,BARROW CREEK,NT,0872,,,03/12/2012,18/02/1987,,12,30-Jun,,,Y,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,
